Defensemen	Penalty Kill Utilization Base	Team
1 Esa Lindell	0.5918823529411762	Dallas Stars
2 Vladislav Gavrikov	0.5699866666666669	Columbus Blue Jackets
3 Scott Mayfield	0.5444867647058825	New York Islanders
4 John Marino	0.5412000000000002	New Jersey Devils
5 Jani Hakanpaa	0.5360588235294115	Dallas Stars
6 Andrew Peeke	0.5091362500000002	Columbus Blue Jackets
7 Justin Holl	0.5033333333333333	Toronto Maple Leafs
8 Marc-Edouard Vlasic	0.49206666666666676	San Jose Sharks
9 Ben Chiarot	0.4904058823529414	Detroit Red Wings
10 Ivan Provorov	0.489256884057971	Philadelphia Flyers
11 Adam Larsson	0.4749095238095239	Seattle Kraken
12 Devon Toews	0.4722545454545456	Colorado Avalanche
13 Brian Dumoulin	0.4718083333333331	Pittsburgh Penguins
14 Jared Spurgeon	0.4701374999999999	Minnesota Wild
15 Jonas Siegenthaler	0.4667666666666668	New Jersey Devils
16 Moritz Seider	0.46650392156862763	Detroit Red Wings
17 Nick Jensen	0.4644857843137254	Washington Capitals
18 Trevor van Riemsdyk	0.45343774509803914	Washington Capitals
19 Adam Pelech	0.44072205882352955	New York Islanders
20 J.J. Moser	0.43259814814814807	Arizona Coyotes
21 David Savard	0.42821428571428555	Montréal Canadiens
22 Jan Rutta	0.42615833333333314	Pittsburgh Penguins
23 Jaccob Slavin	0.42377192982456136	Carolina Hurricanes
24 Travis Hamonic	0.42324848484848476	Ottawa Senators
25 Dmitry Kulikov	0.42004285714285705	Anaheim Ducks
26 Cale Makar	0.417743181818182	Colorado Avalanche
27 Marc Staal	0.41656766666666684	Florida Panthers
28 Jake Sanderson	0.41521212121212114	Ottawa Senators
29 Mikhail Sergachev	0.4084184210526315	Tampa Bay Lightning
30 Matt Benning	0.4070000000000001	San Jose Sharks
31 Brayden McNabb	0.40681111111111096	Vegas Golden Knights
32 Cody Ceci	0.40214062499999986	Edmonton Oilers
33 Adam Fox	0.4020370370370369	New York Rangers
34 Gustav Forsling	0.39797800000000016	Florida Panthers
35 Erik Cernak	0.39495789473684195	Tampa Bay Lightning
36 Mark Giordano	0.39447368421052625	Toronto Maple Leafs
37 Dylan DeMelo	0.3935190476190477	Winnipeg Jets
38 Mattias Ekholm	0.39026590909090925	Nashville Predators
39 Brandon Carlo	0.3878177777777779	Boston Bruins
40 Brenden Dillon	0.38585238095238106	Winnipeg Jets
41 Alec Martinez	0.3784166666666665	Vegas Golden Knights
42 Josh Brown	0.3760546296296296	Arizona Coyotes
43 K'Andre Miller	0.37166666666666665	New York Rangers
44 Darnell Nurse	0.3706593749999999	Edmonton Oilers
45 Brady Skjei	0.37026315789473674	Carolina Hurricanes
46 Hampus Lindholm	0.36975222222222226	Boston Bruins
47 Jamie Oleksiak	0.36823809523809525	Seattle Kraken
48 Joel Edmundson	0.3677142857142856	Montréal Canadiens
49 Jacob Trouba	0.36351851851851846	New York Rangers
50 Jack Johnson	0.36128437500000005	Chicago Blackhawks
51 Brett Pesce	0.35991228070175435	Carolina Hurricanes
52 Ryan Graves	0.3572250000000001	New Jersey Devils
53 Nikita Zadorov	0.35716428571428566	Calgary Flames
54 Travis Sanheim	0.35403333333333337	Philadelphia Flyers
55 Ryan McDonagh	0.35197500000000015	Nashville Predators
56 Nick Holden	0.35155151515151506	Ottawa Senators
57 Rasmus Andersson	0.3512595238095237	Calgary Flames
58 Chris Tanev	0.3500785714285713	Calgary Flames
59 Jonas Brodin	0.349825	Minnesota Wild
60 Ian Cole	0.34615263157894727	Tampa Bay Lightning
61 Alexander Romanov	0.34427647058823535	New York Islanders
62 Niko Mikkola	0.3435079365079365	St. Louis Blues
63 Mikey Anderson	0.3422499999999999	Los Angeles Kings
64 Ryan Lindgren	0.3357407407407407	New York Rangers
65 Nick Leddy	0.33415119047619046	St. Louis Blues
66 Cam Fowler	0.3340071428571428	Anaheim Ducks
67 Mario Ferraro	0.3328416666666667	San Jose Sharks
68 Troy Stecher	0.3282157407407407	Arizona Coyotes
69 Colton Parayko	0.3277424603174603	St. Louis Blues
70 Connor Murphy	0.3267041666666667	Chicago Blackhawks
71 Kaiden Guhle	0.326542857142857	Montréal Canadiens
72 Brent Burns	0.32438596491228067	Carolina Hurricanes
73 Drew Doughty	0.3239812499999999	Los Angeles Kings
74 Erik Johnson	0.32237045454545465	Colorado Avalanche
75 Patrik Nemeth	0.3216324074074074	Arizona Coyotes
76 Justin Faulk	0.3210773809523809	St. Louis Blues
77 Tony DeAngelo	0.3204735507246377	Philadelphia Flyers
78 Zach Whitecloud	0.31898888888888877	Vegas Golden Knights
79 Luke Schenn	0.31495740740740735	Vancouver Canucks
80 Jake Middleton	0.31447499999999995	Minnesota Wild
81 Simon Benoit	0.31404999999999994	Anaheim Ducks
82 Nate Schmidt	0.3118142857142858	Winnipeg Jets
83 Radko Gudas	0.3113226666666668	Florida Panthers
84 Matt Dumba	0.3086999999999999	Minnesota Wild
85 Jake McCabe	0.3041760416666667	Chicago Blackhawks
86 Erik Gudbranson	0.3035287500000001	Columbus Blue Jackets
87 Jeff Petry	0.3030499999999999	Pittsburgh Penguins
88 Carson Soucy	0.2986619047619048	Seattle Kraken
89 Jaycob Megna	0.2984666666666667	San Jose Sharks
90 Marcus Pettersson	0.29846666666666655	Pittsburgh Penguins
91 Mattias Samuelsson	0.29774642857142847	Buffalo Sabres
92 Victor Hedman	0.29613157894736836	Tampa Bay Lightning
93 Noah Hanifin	0.29339285714285707	Calgary Flames
94 Miro Heiskanen	0.2925764705882351	Dallas Stars
95 Connor Clifton	0.29094222222222227	Boston Bruins
96 Ryan Pulock	0.2888735294117648	New York Islanders
97 Justin Braun	0.2849449275362319	Philadelphia Flyers
98 TJ Brodie	0.2832456140350877	Toronto Maple Leafs
99 Derek Forbort	0.2823433333333334	Boston Bruins
100 Matt Roy	0.27410833333333323	Los Angeles Kings
101 Brett Kulak	0.2711843749999999	Edmonton Oilers
102 Aaron Ekblad	0.2627870000000001	Florida Panthers
103 Will Borgen	0.26247142857142863	Seattle Kraken
104 John Carlson	0.2585990196078431	Washington Capitals
105 Filip Hronek	0.2582450980392158	Detroit Red Wings
106 Seth Jones	0.257265625	Chicago Blackhawks
107 Tyler Myers	0.25557777777777774	Vancouver Canucks
108 Ryan Suter	0.2554117647058822	Dallas Stars
109 Olli Maatta	0.2508666666666668	Detroit Red Wings
110 Johnathan Kovacevic	0.2502499999999999	Montréal Canadiens
111 Rasmus Dahlin	0.24224880952380942	Buffalo Sabres
112 Kevin Shattenkirk	0.24215714285714282	Anaheim Ducks
113 MacKenzie Weegar	0.24179999999999993	Calgary Flames
114 Henri Jokiharju	0.2340773809523809	Buffalo Sabres
115 Ilya Lyubushkin	0.230757738095238	Buffalo Sabres
116 Alexandre Carrier	0.22894772727272733	Nashville Predators
117 Josh Manson	0.2271750000000001	Colorado Avalanche
118 Martin Fehervary	0.22573578431372543	Washington Capitals
119 Dylan Samberg	0.22342857142857148	Winnipeg Jets
120 Jarred Tinordi	0.22064583333333335	Chicago Blackhawks
121 Jeremy Lauzon	0.2198181818181819	Nashville Predators
122 Jacob Bryson	0.21645773809523802	Buffalo Sabres
123 Rasmus Ristolainen	0.21281376811594202	Philadelphia Flyers
124 Robert Bortuzzo	0.21187261904761903	St. Louis Blues
125 Ethan Bear	0.20934999999999995	Vancouver Canucks
126 Dante Fabbro	0.2032431818181819	Nashville Predators
127 Nikita Zaitsev	0.19752121212121207	Ottawa Senators
128 Sean Durzi	0.1964854166666666	Los Angeles Kings
129 Charlie McAvoy	0.19241000000000003	Boston Bruins
130 Dmitry Orlov	0.18894019607843132	Washington Capitals
131 Jordan Harris	0.1860571428571428	Montréal Canadiens
132 Neal Pionk	0.1856428571428572	Winnipeg Jets
133 Brandon Montour	0.1780123333333334	Florida Panthers
134 Timothy Liljegren	0.17447368421052628	Toronto Maple Leafs
135 Brendan Smith	0.1731583333333334	New Jersey Devils
136 Radim Simek	0.17242500000000005	San Jose Sharks
137 Oliver Ekman-Larsson	0.16518333333333332	Vancouver Canucks
138 Quinn Hughes	0.16037407407407406	Vancouver Canucks
139 Vince Dunn	0.16032380952380956	Seattle Kraken
140 Erik Brannstrom	0.15954545454545452	Ottawa Senators
141 Morgan Rielly	0.15701754385964908	Toronto Maple Leafs
142 Alexander Edler	0.1524708333333333	Los Angeles Kings
143 Casey Fitzgerald	0.1523630952380952	Buffalo Sabres
144 Damon Severson	0.14996666666666672	New Jersey Devils
145 Evan Bouchard	0.14949999999999994	Edmonton Oilers
146 Jon Merrill	0.14892499999999997	Minnesota Wild
147 Kyle Burroughs	0.14790925925925924	Vancouver Canucks
148 Owen Power	0.1447023809523809	Buffalo Sabres
149 Roman Josi	0.1442113636363637	Nashville Predators
150 Braden Schneider	0.1371296296296296	New York Rangers
151 Tyson Barrie	0.13447812499999998	Edmonton Oilers
152 Artem Zub	0.13307272727272723	Ottawa Senators
153 Nathan Beaulieu	0.1326285714285714	Anaheim Ducks
154 Riley Stillman	0.11169259259259257	Vancouver Canucks
155 Jalen Chatfield	0.11157894736842103	Carolina Hurricanes
156 Nicolas Hague	0.1098833333333333	Vegas Golden Knights
157 Jakub Zboril	0.10926111111111111	Boston Bruins
158 Sean Walker	0.10336874999999998	Los Angeles Kings
159 Alex Goligoski	0.10141249999999997	Minnesota Wild
160 Nick Seeler	0.08627101449275362	Philadelphia Flyers
161 Colin Miller	0.07968235294117643	Dallas Stars
162 Matt Irwin	0.07668088235294117	Washington Capitals
163 Robert Hagg	0.07534313725490199	Detroit Red Wings
164 Shayne Gostisbehere	0.07534259259259259	Arizona Coyotes
165 Dysin Mayo	0.07519629629629629	Arizona Coyotes
166 Kris Letang	0.07424999999999997	Pittsburgh Penguins
167 Mike Matheson	0.07244285714285713	Montréal Canadiens
168 Josh Morrissey	0.07206666666666668	Winnipeg Jets
169 Caleb Jones	0.07120000000000001	Chicago Blackhawks
170 Logan Stanley	0.07097142857142859	Winnipeg Jets
171 Noah Dobson	0.06976323529411767	New York Islanders
172 Calle Rosen	0.0688297619047619	St. Louis Blues
173 Zach Werenski	0.06871666666666669	Columbus Blue Jackets
174 Haydn Fleury	0.06582631578947366	Tampa Bay Lightning
175 Cal Foote	0.06269999999999998	Tampa Bay Lightning
176 Gavin Bayreuther	0.06238750000000002	Columbus Blue Jackets
177 Bowen Byram	0.061690909090909116	Colorado Avalanche
178 Josh Mahura	0.06076000000000002	Florida Panthers
179 Lawrence Pilut	0.06068988095238093	Buffalo Sabres
180 Dougie Hamilton	0.05921666666666669	New Jersey Devils
181 Jake Muzzin	0.058421052631578936	Toronto Maple Leafs
182 Chad Ruhwedel	0.05756666666666664	Pittsburgh Penguins
183 Jordie Benn	0.0563157894736842	Toronto Maple Leafs
184 Jake Walman	0.052168627450980415	Detroit Red Wings
185 Victor Mete	0.05061403508771929	Toronto Maple Leafs
186 Samuel Girard	0.04972500000000002	Colorado Avalanche
187 Erik Karlsson	0.04840000000000001	San Jose Sharks
188 Jordan Oesterle	0.04707647058823532	Detroit Red Wings
189 Ryan Murray	0.04168749999999999	Edmonton Oilers
190 Nick Blankenburg	0.037432500000000014	Columbus Blue Jackets
191 Philip Broberg	0.037374999999999985	Edmonton Oilers
192 Calvin de Haan	0.03552631578947368	Carolina Hurricanes
193 Colton White	0.03464999999999999	Anaheim Ducks
194 Anton Stralman	0.03455333333333334	Boston Bruins
195 Michael Stone	0.034173809523809516	Calgary Flames
196 Jamie Drysdale	0.03284285714285714	Anaheim Ducks
197 Rasmus Sandin	0.03166666666666666	Toronto Maple Leafs
198 Erik Gustafsson	0.02864999999999999	Washington Capitals
199 Arber Xhekaj	0.027971428571428564	Montréal Canadiens
200 Andreas Englund	0.026679545454545463	Colorado Avalanche
201 Nick Cicek	0.026308333333333336	San Jose Sharks
202 Mark Borowiecki	0.024375000000000008	Nashville Predators
203 Juuso Valimaki	0.022968518518518517	Arizona Coyotes
204 Matt Grzelcyk	0.022641111111111115	Boston Bruins
205 Tobias Bjornfot	0.02135208333333333	Los Angeles Kings
206 Jake Bean	0.021247916666666672	Columbus Blue Jackets
207 Zach Bogosian	0.021102631578947362	Tampa Bay Lightning
208 Marcus Bjork	0.020795833333333343	Columbus Blue Jackets
209 Tucker Poolman	0.020709259259259257	Vancouver Canucks
210 Thomas Chabot	0.01922424242424242	Ottawa Senators
211 Matt Kiersted	0.01909600000000001	Florida Panthers
212 Tim Berni	0.017360000000000007	Columbus Blue Jackets
213 Jordan Gross	0.015777272727272734	Nashville Predators
214 Roland McKeown	0.014890909090909095	Nashville Predators
215 Torey Krug	0.01409920634920635	St. Louis Blues
216 Justin Schultz	0.014023809523809527	Seattle Kraken
217 Kevin Gravel	0.01373863636363637	Nashville Predators
218 Connor Mackey	0.011440476190476188	Calgary Flames
