Rating Date,Team,Division,Rating Score
17/10/2022 (v6.0),Anaheim Ducks,PAC,0.19480302078312667
17/10/2022 (v6.0),Arizona Coyotes,CEN,0.3845635507420594
17/10/2022 (v6.0),Boston Bruins,ATL,0.9466501735454705
17/10/2022 (v6.0),Buffalo Sabres,ATL,0.4706476144002453
17/10/2022 (v6.0),Calgary Flames,CEN,0.9074300588270025
17/10/2022 (v6.0),Carolina Hurricanes,MET,0.9501367259364641
17/10/2022 (v6.0),Chicago Blackhawks,CEN,0.35255306415371457
17/10/2022 (v6.0),Colorado Avalanche,CEN,0.6974632074140856
17/10/2022 (v6.0),Columbus Blue Jackets,MET,0.03176578566032015
17/10/2022 (v6.0),Dallas Stars,CEN,0.9533159312030394
17/10/2022 (v6.0),Detroit Red Wings,ATL,0.7541663010378032
17/10/2022 (v6.0),Edmonton Oilers,PAC,0.44053706106422746
17/10/2022 (v6.0),Florida Panthers,ATL,0.6566830010653837
17/10/2022 (v6.0),Los Angeles Kings,PAC,0.48326188340086845
17/10/2022 (v6.0),Minnesota Wild,CEN,0.07436732128459843
17/10/2022 (v6.0),Montréal Canadiens,ATL,0.40799619163722123
17/10/2022 (v6.0),Nashville Predators,CEN,0.5048917797855783
17/10/2022 (v6.0),New Jersey Devils,MET,0.06625090192271095
17/10/2022 (v6.0),New York Islanders,MET,0.5580232236811807
17/10/2022 (v6.0),New York Rangers,MET,0.7934926544460972
17/10/2022 (v6.0),Ottawa Senators,ATL,0.059471747404410545
17/10/2022 (v6.0),Philadelphia Flyers,MET,0.8780325684979259
17/10/2022 (v6.0),Pittsburgh Penguins,MET,0.7650017651145038
17/10/2022 (v6.0),San Jose Sharks,PAC,0.0695475047285062
17/10/2022 (v6.0),Seattle Kraken,PAC,0.3166544603062438
17/10/2022 (v6.0),St. Louis Blues,CEN,0.8003090024646935
17/10/2022 (v6.0),Tampa Bay Lightning,ATL,0.3840918882778711
17/10/2022 (v6.0),Toronto Maple Leafs,ATL,0.47684392842471246
17/10/2022 (v6.0),Vancouver Canucks,PAC,0.044134569943600196
17/10/2022 (v6.0),Vegas Golden Knights,PAC,0.9423539383856101
17/10/2022 (v6.0),Washington Capitals,MET,0.5198283963815311
17/10/2022 (v6.0),Winnipeg Jets,CEN,0.4998654349695448
