Rating Date,Team,Division,Recent Form
17/10/2022 (v6.0),Anaheim Ducks,PAC,0.2868769787311557
17/10/2022 (v6.0),Arizona Coyotes,CEN,0.2868769787311557
17/10/2022 (v6.0),Boston Bruins,ATL,0.9388903591390753
17/10/2022 (v6.0),Buffalo Sabres,ATL,0.2868769787311557
17/10/2022 (v6.0),Calgary Flames,CEN,0.7131463083279208
17/10/2022 (v6.0),Carolina Hurricanes,MET,0.9388903591390753
17/10/2022 (v6.0),Chicago Blackhawks,CEN,0.2868769787311557
17/10/2022 (v6.0),Colorado Avalanche,CEN,0.7131463083279208
17/10/2022 (v6.0),Columbus Blue Jackets,MET,0.06111617233691272
17/10/2022 (v6.0),Dallas Stars,CEN,0.9388903591390753
17/10/2022 (v6.0),Detroit Red Wings,ATL,0.8201275837639908
17/10/2022 (v6.0),Edmonton Oilers,PAC,0.2868769787311557
17/10/2022 (v6.0),Florida Panthers,ATL,0.7131463083279208
17/10/2022 (v6.0),Los Angeles Kings,PAC,0.7131463083279208
17/10/2022 (v6.0),Minnesota Wild,CEN,0.06111617233691272
17/10/2022 (v6.0),Montréal Canadiens,ATL,0.7131463083279208
17/10/2022 (v6.0),Nashville Predators,CEN,0.7131463083279208
17/10/2022 (v6.0),New Jersey Devils,MET,0.06111617233691272
17/10/2022 (v6.0),New York Islanders,MET,0.2868769787311557
17/10/2022 (v6.0),New York Rangers,MET,0.9388903591390753
17/10/2022 (v6.0),Ottawa Senators,ATL,0.06111617233691272
17/10/2022 (v6.0),Philadelphia Flyers,MET,0.7131463083279208
17/10/2022 (v6.0),Pittsburgh Penguins,MET,0.8201275837639908
17/10/2022 (v6.0),San Jose Sharks,PAC,0.06111617233691272
17/10/2022 (v6.0),Seattle Kraken,PAC,0.42455486390190617
17/10/2022 (v6.0),St. Louis Blues,CEN,0.2868769787311557
17/10/2022 (v6.0),Tampa Bay Lightning,ATL,0.2868769787311557
17/10/2022 (v6.0),Toronto Maple Leafs,ATL,0.7131463083279208
17/10/2022 (v6.0),Vancouver Canucks,PAC,0.06111617233691272
17/10/2022 (v6.0),Vegas Golden Knights,PAC,0.9388903591390753
17/10/2022 (v6.0),Washington Capitals,MET,0.7131463083279208
17/10/2022 (v6.0),Winnipeg Jets,CEN,0.2868769787311557
22/10/2022 (v6.0),Anaheim Ducks,PAC,0.0752632006696111
22/10/2022 (v6.0),Arizona Coyotes,CEN,0.04472343131704913
22/10/2022 (v6.0),Boston Bruins,ATL,0.9729057355960856
22/10/2022 (v6.0),Buffalo Sabres,ATL,0.8721772370672157
22/10/2022 (v6.0),Calgary Flames,CEN,0.8721772370672157
22/10/2022 (v6.0),Carolina Hurricanes,MET,0.6926880499009717
22/10/2022 (v6.0),Chicago Blackhawks,CEN,0.19767551874087447
22/10/2022 (v6.0),Colorado Avalanche,CEN,0.6926880499009717
22/10/2022 (v6.0),Columbus Blue Jackets,MET,0.19767551874087447
22/10/2022 (v6.0),Dallas Stars,CEN,0.9222511281030603
22/10/2022 (v6.0),Detroit Red Wings,ATL,0.4268009675063166
22/10/2022 (v6.0),Edmonton Oilers,PAC,0.19767551874087447
22/10/2022 (v6.0),Florida Panthers,ATL,0.6926880499009717
22/10/2022 (v6.0),Los Angeles Kings,PAC,0.5645701390517465
22/10/2022 (v6.0),Minnesota Wild,CEN,0.0752632006696111
22/10/2022 (v6.0),Montréal Canadiens,ATL,0.5645701390517465
22/10/2022 (v6.0),Nashville Predators,CEN,0.2998734141477616
22/10/2022 (v6.0),New Jersey Devils,MET,0.5645701390517465
22/10/2022 (v6.0),New York Islanders,MET,0.19767551874087447
22/10/2022 (v6.0),New York Rangers,MET,0.6926880499009717
22/10/2022 (v6.0),Ottawa Senators,ATL,0.5645701390517465
22/10/2022 (v6.0),Philadelphia Flyers,MET,0.8721772370672157
22/10/2022 (v6.0),Pittsburgh Penguins,MET,0.9222511281030603
22/10/2022 (v6.0),San Jose Sharks,PAC,0.04472343131704913
22/10/2022 (v6.0),Seattle Kraken,PAC,0.4268009675063166
22/10/2022 (v6.0),St. Louis Blues,CEN,0.5645701390517465
22/10/2022 (v6.0),Tampa Bay Lightning,ATL,0.5645701390517465
22/10/2022 (v6.0),Toronto Maple Leafs,ATL,0.8721772370672157
22/10/2022 (v6.0),Vancouver Canucks,PAC,0.026182071732398657
22/10/2022 (v6.0),Vegas Golden Knights,PAC,0.8721772370672157
22/10/2022 (v6.0),Washington Capitals,MET,0.5645701390517465
22/10/2022 (v6.0),Winnipeg Jets,CEN,0.19767551874087447
31/10/2022 (v6.0),Anaheim Ducks,PAC,0.03898734799723342
31/10/2022 (v6.0),Arizona Coyotes,CEN,0.03898734799723342
31/10/2022 (v6.0),Boston Bruins,ATL,0.9840242410049966
31/10/2022 (v6.0),Buffalo Sabres,ATL,0.8227833705582185
31/10/2022 (v6.0),Calgary Flames,CEN,0.5603767192472409
31/10/2022 (v6.0),Carolina Hurricanes,MET,0.8771555602337417
31/10/2022 (v6.0),Chicago Blackhawks,CEN,0.4528785081630707
31/10/2022 (v6.0),Colorado Avalanche,CEN,0.3498968974568872
31/10/2022 (v6.0),Columbus Blue Jackets,MET,0.08765841402238127
31/10/2022 (v6.0),Dallas Stars,CEN,0.662205126763363
31/10/2022 (v6.0),Detroit Red Wings,ATL,0.4528785081630707
31/10/2022 (v6.0),Edmonton Oilers,PAC,0.8227833705582185
31/10/2022 (v6.0),Florida Panthers,ATL,0.662205126763363
31/10/2022 (v6.0),Los Angeles Kings,PAC,0.8227833705582185
31/10/2022 (v6.0),Minnesota Wild,CEN,0.3498968974568872
31/10/2022 (v6.0),Montréal Canadiens,ATL,0.5603767192472409
31/10/2022 (v6.0),Nashville Predators,CEN,0.12874270983779096
31/10/2022 (v6.0),New Jersey Devils,MET,0.8227833705582185
