Rating Date,Team,Division,Scoring Rating
17/10/2022 (v6.0),Anaheim Ducks,PAC,0.06654724593248601
17/10/2022 (v6.0),Arizona Coyotes,CEN,0.1165745675205289
17/10/2022 (v6.0),Boston Bruins,ATL,0.8496323899133363
17/10/2022 (v6.0),Buffalo Sabres,ATL,0.5874079218996535
17/10/2022 (v6.0),Calgary Flames,CEN,0.8050786003137345
17/10/2022 (v6.0),Carolina Hurricanes,MET,0.9278103290668885
17/10/2022 (v6.0),Chicago Blackhawks,CEN,0.31853628917095717
17/10/2022 (v6.0),Colorado Avalanche,CEN,0.7622668070952539
17/10/2022 (v6.0),Columbus Blue Jackets,MET,0.07558642666081417
17/10/2022 (v6.0),Dallas Stars,CEN,0.8124146259313032
17/10/2022 (v6.0),Detroit Red Wings,ATL,0.6982999378734426
17/10/2022 (v6.0),Edmonton Oilers,PAC,0.45822109001994615
17/10/2022 (v6.0),Florida Panthers,ATL,0.5949410993647284
17/10/2022 (v6.0),Los Angeles Kings,PAC,0.3437735187090444
17/10/2022 (v6.0),Minnesota Wild,CEN,0.18719067624145996
17/10/2022 (v6.0),Montréal Canadiens,ATL,0.29791088427329016
17/10/2022 (v6.0),Nashville Predators,CEN,0.340330780674586
17/10/2022 (v6.0),New Jersey Devils,MET,0.27534359565940264
17/10/2022 (v6.0),New York Islanders,MET,0.8693068319731914
17/10/2022 (v6.0),New York Rangers,MET,0.7878187928800235
17/10/2022 (v6.0),Ottawa Senators,ATL,0.18326451925415316
17/10/2022 (v6.0),Philadelphia Flyers,MET,0.7025573438731691
17/10/2022 (v6.0),Pittsburgh Penguins,MET,0.8840462870002368
17/10/2022 (v6.0),San Jose Sharks,PAC,0.20744594170703498
17/10/2022 (v6.0),Seattle Kraken,PAC,0.3100870618111088
17/10/2022 (v6.0),St. Louis Blues,CEN,0.8330470051458356
17/10/2022 (v6.0),Tampa Bay Lightning,ATL,0.2656544227707707
17/10/2022 (v6.0),Toronto Maple Leafs,ATL,0.5270043655109742
17/10/2022 (v6.0),Vancouver Canucks,PAC,0.2828943326432727
17/10/2022 (v6.0),Vegas Golden Knights,PAC,0.8356555962309542
17/10/2022 (v6.0),Washington Capitals,MET,0.47484746648425014
17/10/2022 (v6.0),Winnipeg Jets,CEN,0.4091979028749291
22/10/2022 (v6.0),Anaheim Ducks,PAC,0.05847575432498011
22/10/2022 (v6.0),Arizona Coyotes,CEN,0.0276959860658395
22/10/2022 (v6.0),Boston Bruins,ATL,0.8061338679569654
22/10/2022 (v6.0),Buffalo Sabres,ATL,0.7274089096710481
22/10/2022 (v6.0),Calgary Flames,CEN,0.6852781157336609
22/10/2022 (v6.0),Carolina Hurricanes,MET,0.8021937934706526
22/10/2022 (v6.0),Chicago Blackhawks,CEN,0.3878357714975134
22/10/2022 (v6.0),Colorado Avalanche,CEN,0.5804383319541563
22/10/2022 (v6.0),Columbus Blue Jackets,MET,0.16631686365802964
22/10/2022 (v6.0),Dallas Stars,CEN,0.7695780216961454
22/10/2022 (v6.0),Detroit Red Wings,ATL,0.665943295111526
22/10/2022 (v6.0),Edmonton Oilers,PAC,0.4100083695586955
22/10/2022 (v6.0),Florida Panthers,ATL,0.5935894310536995
22/10/2022 (v6.0),Los Angeles Kings,PAC,0.2215250851341945
22/10/2022 (v6.0),Minnesota Wild,CEN,0.1902835833835318
22/10/2022 (v6.0),Montréal Canadiens,ATL,0.3736545742168665
22/10/2022 (v6.0),Nashville Predators,CEN,0.23337798408364493
22/10/2022 (v6.0),New Jersey Devils,MET,0.6004220284334233
22/10/2022 (v6.0),New York Islanders,MET,0.6379586402810656
22/10/2022 (v6.0),New York Rangers,MET,0.7588172818241116
22/10/2022 (v6.0),Ottawa Senators,ATL,0.7723195429614554
22/10/2022 (v6.0),Philadelphia Flyers,MET,0.6472198556129098
22/10/2022 (v6.0),Pittsburgh Penguins,MET,0.9305155958849012
22/10/2022 (v6.0),San Jose Sharks,PAC,0.1372211602917967
22/10/2022 (v6.0),Seattle Kraken,PAC,0.3713776368957682
22/10/2022 (v6.0),St. Louis Blues,CEN,0.7805561653738042
22/10/2022 (v6.0),Tampa Bay Lightning,ATL,0.405486992400669
22/10/2022 (v6.0),Toronto Maple Leafs,ATL,0.6976639201194176
22/10/2022 (v6.0),Vancouver Canucks,PAC,0.1900612296194226
22/10/2022 (v6.0),Vegas Golden Knights,PAC,0.7630413880078784
22/10/2022 (v6.0),Washington Capitals,MET,0.3583351881159015
22/10/2022 (v6.0),Winnipeg Jets,CEN,0.21522797088101903
31/10/2022 (v6.0),Anaheim Ducks,PAC,0.029186839050641167
31/10/2022 (v6.0),Arizona Coyotes,CEN,0.04035695505468074
31/10/2022 (v6.0),Boston Bruins,ATL,0.9234816440644473
31/10/2022 (v6.0),Buffalo Sabres,ATL,0.8310094262110377
31/10/2022 (v6.0),Calgary Flames,CEN,0.801759524277303
31/10/2022 (v6.0),Carolina Hurricanes,MET,0.7284826545085208
31/10/2022 (v6.0),Chicago Blackhawks,CEN,0.4394490784393514
31/10/2022 (v6.0),Colorado Avalanche,CEN,0.5111722852854934
31/10/2022 (v6.0),Columbus Blue Jackets,MET,0.07398147182554388
31/10/2022 (v6.0),Dallas Stars,CEN,0.7100556401718358
31/10/2022 (v6.0),Detroit Red Wings,ATL,0.2531236896565465
31/10/2022 (v6.0),Edmonton Oilers,PAC,0.6859083449847133
