Rating Date,Team,Division,Average Ranking
16/10/2021 (THG),Anaheim Ducks,PAC,26.000
16/10/2021 (THG),Arizona Coyotes,CEN,32.000
16/10/2021 (THG),Boston Bruins,ATL,9.000
16/10/2021 (THG),Buffalo Sabres,ATL,24.000
16/10/2021 (THG),Calgary Flames,CEN,17.000
16/10/2021 (THG),Carolina Hurricanes,MET,3.000
16/10/2021 (THG),Chicago Blackhawks,CEN,31.000
16/10/2021 (THG),Colorado Avalanche,CEN,10.000
16/10/2021 (THG),Columbus Blue Jackets,MET,25.000
16/10/2021 (THG),Dallas Stars,CEN,12.000
16/10/2021 (THG),Detroit Red Wings,ATL,23.000
16/10/2021 (THG),Edmonton Oilers,PAC,2.000
16/10/2021 (THG),Florida Panthers,ATL,1.000
16/10/2021 (THG),Los Angeles Kings,PAC,28.000
16/10/2021 (THG),Minnesota Wild,CEN,5.000
16/10/2021 (THG),Montréal Canadiens,ATL,30.000
16/10/2021 (THG),Nashville Predators,CEN,27.000
16/10/2021 (THG),New Jersey Devils,MET,21.000
16/10/2021 (THG),New York Islanders,MET,14.000
16/10/2021 (THG),New York Rangers,MET,8.000
16/10/2021 (THG),Ottawa Senators,ATL,20.000
16/10/2021 (THG),Philadelphia Flyers,MET,16.000
16/10/2021 (THG),Pittsburgh Penguins,MET,13.000
16/10/2021 (THG),San Jose Sharks,PAC,11.000
16/10/2021 (THG),Seattle Kraken,PAC,29.000
16/10/2021 (THG),St. Louis Blues,CEN,4.000
16/10/2021 (THG),Tampa Bay Lightning,ATL,7.000
16/10/2021 (THG),Toronto Maple Leafs,ATL,15.000
16/10/2021 (THG),Vancouver Canucks,PAC,22.000
16/10/2021 (THG),Vegas Golden Knights,PAC,19.000
16/10/2021 (THG),Washington Capitals,MET,6.000
16/10/2021 (THG),Winnipeg Jets,CEN,18.000
30/10/2021 (v5.0),Anaheim Ducks,PAC,27.0
30/10/2021 (v5.0),Arizona Coyotes,CEN,32.0
30/10/2021 (v5.0),Boston Bruins,ATL,13.0
30/10/2021 (v5.0),Buffalo Sabres,ATL,17.0
30/10/2021 (v5.0),Calgary Flames,CEN,11.5
30/10/2021 (v5.0),Carolina Hurricanes,MET,2.0
30/10/2021 (v5.0),Chicago Blackhawks,CEN,31.0
30/10/2021 (v5.0),Colorado Avalanche,CEN,16.0
30/10/2021 (v5.0),Columbus Blue Jackets,MET,22.0
30/10/2021 (v5.0),Dallas Stars,CEN,19.0
30/10/2021 (v5.0),Detroit Red Wings,ATL,20.5
30/10/2021 (v5.0),Edmonton Oilers,PAC,2.0
30/10/2021 (v5.0),Florida Panthers,ATL,2.0
30/10/2021 (v5.0),Los Angeles Kings,PAC,29.0
30/10/2021 (v5.0),Minnesota Wild,CEN,10.5
30/10/2021 (v5.0),Montréal Canadiens,ATL,29.5
30/10/2021 (v5.0),Nashville Predators,CEN,19.0
30/10/2021 (v5.0),New Jersey Devils,MET,14.0
30/10/2021 (v5.0),New York Islanders,MET,14.0
30/10/2021 (v5.0),New York Rangers,MET,6.5
30/10/2021 (v5.0),Ottawa Senators,ATL,22.0
30/10/2021 (v5.0),Philadelphia Flyers,MET,12.5
30/10/2021 (v5.0),Pittsburgh Penguins,MET,18.0
30/10/2021 (v5.0),San Jose Sharks,PAC,9.5
30/10/2021 (v5.0),Seattle Kraken,PAC,27.0
30/10/2021 (v5.0),St. Louis Blues,CEN,4.0
30/10/2021 (v5.0),Tampa Bay Lightning,ATL,11.0
30/10/2021 (v5.0),Toronto Maple Leafs,ATL,18.0
30/10/2021 (v5.0),Vancouver Canucks,PAC,24.5
30/10/2021 (v5.0),Vegas Golden Knights,PAC,19.5
30/10/2021 (v5.0),Washington Capitals,MET,9.0
30/10/2021 (v5.0),Winnipeg Jets,CEN,15.5
27/11/2021 (v5.0),Anaheim Ducks,PAC,20.333333333333332
27/11/2021 (v5.0),Arizona Coyotes,CEN,32.0
27/11/2021 (v5.0),Boston Bruins,ATL,12.0
27/11/2021 (v5.0),Buffalo Sabres,ATL,20.0
27/11/2021 (v5.0),Calgary Flames,CEN,12.333333333333334
27/11/2021 (v5.0),Carolina Hurricanes,MET,1.6666666666666667
27/11/2021 (v5.0),Chicago Blackhawks,CEN,28.666666666666668
27/11/2021 (v5.0),Colorado Avalanche,CEN,14.666666666666666
27/11/2021 (v5.0),Columbus Blue Jackets,MET,17.666666666666668
27/11/2021 (v5.0),Dallas Stars,CEN,17.0
27/11/2021 (v5.0),Detroit Red Wings,ATL,21.333333333333332
27/11/2021 (v5.0),Edmonton Oilers,PAC,2.3333333333333335
27/11/2021 (v5.0),Florida Panthers,ATL,5.0
27/11/2021 (v5.0),Los Angeles Kings,PAC,26.0
27/11/2021 (v5.0),Minnesota Wild,CEN,9.666666666666666
27/11/2021 (v5.0),Montréal Canadiens,ATL,29.333333333333332
27/11/2021 (v5.0),Nashville Predators,CEN,18.0
27/11/2021 (v5.0),New Jersey Devils,MET,16.666666666666668
27/11/2021 (v5.0),New York Islanders,MET,18.666666666666668
27/11/2021 (v5.0),New York Rangers,MET,6.333333333333333
27/11/2021 (v5.0),Ottawa Senators,ATL,25.0
27/11/2021 (v5.0),Philadelphia Flyers,MET,16.666666666666668
27/11/2021 (v5.0),Pittsburgh Penguins,MET,17.666666666666668
27/11/2021 (v5.0),San Jose Sharks,PAC,12.333333333333334
27/11/2021 (v5.0),Seattle Kraken,PAC,27.0
27/11/2021 (v5.0),St. Louis Blues,CEN,9.0
27/11/2021 (v5.0),Tampa Bay Lightning,ATL,9.0
27/11/2021 (v5.0),Toronto Maple Leafs,ATL,12.666666666666666
27/11/2021 (v5.0),Vancouver Canucks,PAC,26.333333333333332
27/11/2021 (v5.0),Vegas Golden Knights,PAC,18.0
27/11/2021 (v5.0),Washington Capitals,MET,7.333333333333333
27/11/2021 (v5.0),Winnipeg Jets,CEN,17.333333333333332
25/12/2021 (v5.0),Anaheim Ducks,PAC,17.5
25/12/2021 (v5.0),Arizona Coyotes,CEN,32.0
25/12/2021 (v5.0),Boston Bruins,ATL,12.75
25/12/2021 (v5.0),Buffalo Sabres,ATL,22.5
25/12/2021 (v5.0),Calgary Flames,CEN,13.25
25/12/2021 (v5.0),Carolina Hurricanes,MET,1.75
25/12/2021 (v5.0),Chicago Blackhawks,CEN,28.0
25/12/2021 (v5.0),Colorado Avalanche,CEN,12.5
25/12/2021 (v5.0),Columbus Blue Jackets,MET,19.0
25/12/2021 (v5.0),Dallas Stars,CEN,17.0
25/12/2021 (v5.0),Detroit Red Wings,ATL,21.25
25/12/2021 (v5.0),Edmonton Oilers,PAC,5.25
25/12/2021 (v5.0),Florida Panthers,ATL,6.75
25/12/2021 (v5.0),Los Angeles Kings,PAC,24.0
25/12/2021 (v5.0),Minnesota Wild,CEN,9.75
25/12/2021 (v5.0),Montréal Canadiens,ATL,29.75
25/12/2021 (v5.0),Nashville Predators,CEN,14.5
25/12/2021 (v5.0),New Jersey Devils,MET,19.75
25/12/2021 (v5.0),New York Islanders,MET,21.0
25/12/2021 (v5.0),New York Rangers,MET,6.0
25/12/2021 (v5.0),Ottawa Senators,ATL,25.5
25/12/2021 (v5.0),Philadelphia Flyers,MET,18.5
25/12/2021 (v5.0),Pittsburgh Penguins,MET,15.25
25/12/2021 (v5.0),San Jose Sharks,PAC,14.0
25/12/2021 (v5.0),Seattle Kraken,PAC,26.5
25/12/2021 (v5.0),St. Louis Blues,CEN,9.5
25/12/2021 (v5.0),Tampa Bay Lightning,ATL,7.5
25/12/2021 (v5.0),Toronto Maple Leafs,ATL,9.75
25/12/2021 (v5.0),Vancouver Canucks,PAC,25.25
25/12/2021 (v5.0),Vegas Golden Knights,PAC,15.25
25/12/2021 (v5.0),Washington Capitals,MET,8.75
25/12/2021 (v5.0),Winnipeg Jets,CEN,18.0
29/1/2021 (v5.0),Anaheim Ducks,PAC,17.6
29/1/2021 (v5.0),Arizona Coyotes,CEN,31.8
29/1/2021 (v5.0),Boston Bruins,ATL,11.2
29/1/2021 (v5.0),Buffalo Sabres,ATL,23.8
29/1/2021 (v5.0),Calgary Flames,CEN,14.0
29/1/2021 (v5.0),Carolina Hurricanes,MET,1.6
29/1/2021 (v5.0),Chicago Blackhawks,CEN,27.2
29/1/2021 (v5.0),Colorado Avalanche,CEN,10.4
