Rating Date,Team,Division,Strength of Schedule
16/10/2021 (v5.0),Anaheim Ducks,PAC,0.2058676742659689
16/10/2021 (v5.0),Arizona Coyotes,CEN,0.06456736718159575
16/10/2021 (v5.0),Boston Bruins,ATL,0.8503876896016824
16/10/2021 (v5.0),Buffalo Sabres,ATL,0.9622164753532811
16/10/2021 (v5.0),Calgary Flames,CEN,0.06456736718159575
16/10/2021 (v5.0),Carolina Hurricanes,MET,0.7017104090810912
16/10/2021 (v5.0),Chicago Blackhawks,CEN,0.06456736718159575
16/10/2021 (v5.0),Colorado Avalanche,CEN,0.3851305739484174
16/10/2021 (v5.0),Columbus Blue Jackets,MET,0.8503876896016824
16/10/2021 (v5.0),Dallas Stars,CEN,0.8503876896016824
16/10/2021 (v5.0),Detroit Red Wings,ATL,0.3851305739484174
16/10/2021 (v5.0),Edmonton Oilers,PAC,0.9896529185510593
16/10/2021 (v5.0),Florida Panthers,ATL,0.8503876896016824
16/10/2021 (v5.0),Los Angeles Kings,PAC,0.06456736718159575
16/10/2021 (v5.0),Minnesota Wild,CEN,0.8503876896016824
16/10/2021 (v5.0),Montréal Canadiens,ATL,0.06456736718159575
16/10/2021 (v5.0),Nashville Predators,CEN,0.06456736718159575
16/10/2021 (v5.0),New Jersey Devils,MET,0.9978680627659424
16/10/2021 (v5.0),New York Islanders,MET,0.06456736718159575
16/10/2021 (v5.0),New York Rangers,MET,0.23094462728154452
16/10/2021 (v5.0),Ottawa Senators,ATL,0.3851305739484174
16/10/2021 (v5.0),Philadelphia Flyers,MET,0.06456736718159575
16/10/2021 (v5.0),Pittsburgh Penguins,MET,0.14293656564364346
16/10/2021 (v5.0),San Jose Sharks,PAC,0.8503876896016824
16/10/2021 (v5.0),Seattle Kraken,PAC,0.23094462728154452
16/10/2021 (v5.0),St. Louis Blues,CEN,0.8503876896016824
16/10/2021 (v5.0),Tampa Bay Lightning,ATL,0.9611327297125611
16/10/2021 (v5.0),Toronto Maple Leafs,ATL,0.5664373068049328
16/10/2021 (v5.0),Vancouver Canucks,PAC,0.7802534901181705
16/10/2021 (v5.0),Vegas Golden Knights,PAC,0.3851305739484174
16/10/2021 (v5.0),Washington Capitals,MET,0.06456736718159575
16/10/2021 (v5.0),Winnipeg Jets,CEN,0.06456736718159575
30/10/2021 (v5.0),Anaheim Ducks,PAC,0.2621257628969094
30/10/2021 (v5.0),Arizona Coyotes,CEN,0.06456736718159575
30/10/2021 (v5.0),Boston Bruins,ATL,0.6578691533447699
30/10/2021 (v5.0),Buffalo Sabres,ATL,0.7700036117708772
30/10/2021 (v5.0),Calgary Flames,CEN,0.33439471567217277
30/10/2021 (v5.0),Carolina Hurricanes,MET,0.5664373068049328
30/10/2021 (v5.0),Chicago Blackhawks,CEN,0.06456736718159575
30/10/2021 (v5.0),Colorado Avalanche,CEN,0.6578691533447699
30/10/2021 (v5.0),Columbus Blue Jackets,MET,0.670052938487774
30/10/2021 (v5.0),Dallas Stars,CEN,0.8228827527255784
30/10/2021 (v5.0),Detroit Red Wings,ATL,0.41155183252853744
30/10/2021 (v5.0),Edmonton Oilers,PAC,0.8747349572584823
30/10/2021 (v5.0),Florida Panthers,ATL,0.8358092252294093
30/10/2021 (v5.0),Los Angeles Kings,PAC,0.09151969616310902
30/10/2021 (v5.0),Minnesota Wild,CEN,0.8503876896016824
30/10/2021 (v5.0),Montréal Canadiens,ATL,0.06456736718159575
30/10/2021 (v5.0),Nashville Predators,CEN,0.6578691533447699
30/10/2021 (v5.0),New Jersey Devils,MET,0.9321272050072659
30/10/2021 (v5.0),New York Islanders,MET,0.2580835052026109
30/10/2021 (v5.0),New York Rangers,MET,0.7315473696252642
30/10/2021 (v5.0),Ottawa Senators,ATL,0.318235958995355
30/10/2021 (v5.0),Philadelphia Flyers,MET,0.318235958995355
30/10/2021 (v5.0),Pittsburgh Penguins,MET,0.09689547321342644
30/10/2021 (v5.0),San Jose Sharks,PAC,0.52087301819963
30/10/2021 (v5.0),Seattle Kraken,PAC,0.18286621695378755
30/10/2021 (v5.0),St. Louis Blues,CEN,0.4933171479887738
30/10/2021 (v5.0),Tampa Bay Lightning,ATL,0.5664373068049328
30/10/2021 (v5.0),Toronto Maple Leafs,ATL,0.6171278279514377
30/10/2021 (v5.0),Vancouver Canucks,PAC,0.5059191734596815
30/10/2021 (v5.0),Vegas Golden Knights,PAC,0.903571383026494
30/10/2021 (v5.0),Washington Capitals,MET,0.3414435224414395
30/10/2021 (v5.0),Winnipeg Jets,CEN,0.31369628292950213
27/11/2021 (v5.0),Anaheim Ducks,PAC,0.7058239611826008
27/11/2021 (v5.0),Arizona Coyotes,CEN,0.040112942163250856
27/11/2021 (v5.0),Boston Bruins,ATL,0.6603172219137786
27/11/2021 (v5.0),Buffalo Sabres,ATL,0.02545692529723824
27/11/2021 (v5.0),Calgary Flames,CEN,0.2182007471728477
27/11/2021 (v5.0),Carolina Hurricanes,MET,0.7699288501647681
27/11/2021 (v5.0),Chicago Blackhawks,CEN,0.503074256259182
27/11/2021 (v5.0),Colorado Avalanche,CEN,0.5369502923891003
27/11/2021 (v5.0),Columbus Blue Jackets,MET,0.9065453106362146
27/11/2021 (v5.0),Dallas Stars,CEN,0.8633895812806506
27/11/2021 (v5.0),Detroit Red Wings,ATL,0.2733727836632803
27/11/2021 (v5.0),Edmonton Oilers,PAC,0.8543236359282299
27/11/2021 (v5.0),Florida Panthers,ATL,0.7860470635126081
27/11/2021 (v5.0),Los Angeles Kings,PAC,0.4941858345813544
27/11/2021 (v5.0),Minnesota Wild,CEN,0.8907872521824179
27/11/2021 (v5.0),Montréal Canadiens,ATL,0.01797470517071913
27/11/2021 (v5.0),Nashville Predators,CEN,0.3818800685094528
27/11/2021 (v5.0),New Jersey Devils,MET,0.37460038382358035
27/11/2021 (v5.0),New York Islanders,MET,0.022202921258448163
27/11/2021 (v5.0),New York Rangers,MET,0.8547722134602574
27/11/2021 (v5.0),Ottawa Senators,ATL,0.0014724787645117208
27/11/2021 (v5.0),Philadelphia Flyers,MET,0.18977678777432325
27/11/2021 (v5.0),Pittsburgh Penguins,MET,0.2597689471371859
27/11/2021 (v5.0),San Jose Sharks,PAC,0.4375388569329704
27/11/2021 (v5.0),Seattle Kraken,PAC,0.05767108276678487
27/11/2021 (v5.0),St. Louis Blues,CEN,0.12346292433052469
27/11/2021 (v5.0),Tampa Bay Lightning,ATL,0.946798686276261
27/11/2021 (v5.0),Toronto Maple Leafs,ATL,0.944437994993225
27/11/2021 (v5.0),Vancouver Canucks,PAC,0.018450311204554072
27/11/2021 (v5.0),Vegas Golden Knights,PAC,0.6607571383724311
27/11/2021 (v5.0),Washington Capitals,MET,0.5625253651424464
27/11/2021 (v5.0),Winnipeg Jets,CEN,0.34044236832896835
25/12/2021 (v5.0),Anaheim Ducks,PAC,0.7269564685830204
25/12/2021 (v5.0),Arizona Coyotes,CEN,0.032802240601923785
25/12/2021 (v5.0),Boston Bruins,ATL,0.5277070748363785
25/12/2021 (v5.0),Buffalo Sabres,ATL,0.02827152099913821
25/12/2021 (v5.0),Calgary Flames,CEN,0.27507200658009673
25/12/2021 (v5.0),Carolina Hurricanes,MET,0.7137535896807171
25/12/2021 (v5.0),Chicago Blackhawks,CEN,0.5039207596352837
25/12/2021 (v5.0),Colorado Avalanche,CEN,0.7046792323851628
25/12/2021 (v5.0),Columbus Blue Jackets,MET,0.5229059116521945
25/12/2021 (v5.0),Dallas Stars,CEN,0.7230585266751829
25/12/2021 (v5.0),Detroit Red Wings,ATL,0.4320737618873189
25/12/2021 (v5.0),Edmonton Oilers,PAC,0.46550172947433915
25/12/2021 (v5.0),Florida Panthers,ATL,0.6392869310471203
25/12/2021 (v5.0),Los Angeles Kings,PAC,0.6278111629443033
25/12/2021 (v5.0),Minnesota Wild,CEN,0.872068163283658
25/12/2021 (v5.0),Montréal Canadiens,ATL,0.008385365448524593
25/12/2021 (v5.0),Nashville Predators,CEN,0.813290257860247
25/12/2021 (v5.0),New Jersey Devils,MET,0.04386384402192832
25/12/2021 (v5.0),New York Islanders,MET,0.0304253664736544
25/12/2021 (v5.0),New York Rangers,MET,0.7328229394573346
25/12/2021 (v5.0),Ottawa Senators,ATL,0.02350247169513712
25/12/2021 (v5.0),Philadelphia Flyers,MET,0.1373970649023646
25/12/2021 (v5.0),Pittsburgh Penguins,MET,0.5935637423264253
25/12/2021 (v5.0),San Jose Sharks,PAC,0.36841409781556766
25/12/2021 (v5.0),Seattle Kraken,PAC,0.06346571076617824
25/12/2021 (v5.0),St. Louis Blues,CEN,0.32951506268192227
25/12/2021 (v5.0),Tampa Bay Lightning,ATL,0.9538396181049748
25/12/2021 (v5.0),Toronto Maple Leafs,ATL,0.9296255982264462
25/12/2021 (v5.0),Vancouver Canucks,PAC,0.21886065069522678
25/12/2021 (v5.0),Vegas Golden Knights,PAC,0.8596735150634458
25/12/2021 (v5.0),Washington Capitals,MET,0.5938965625165509
25/12/2021 (v5.0),Winnipeg Jets,CEN,0.286193887818114
29/1/2021 (v5.0),Anaheim Ducks,PAC,0.5077585830508899
29/1/2021 (v5.0),Arizona Coyotes,CEN,0.022328484942400237
29/1/2021 (v5.0),Boston Bruins,ATL,0.8026481511062685
29/1/2021 (v5.0),Buffalo Sabres,ATL,0.016288500653422175
29/1/2021 (v5.0),Calgary Flames,CEN,0.3146988590358216
29/1/2021 (v5.0),Carolina Hurricanes,MET,0.8271768409228811
29/1/2021 (v5.0),Chicago Blackhawks,CEN,0.2799626248341557
29/1/2021 (v5.0),Colorado Avalanche,CEN,0.9363801380686219
29/1/2021 (v5.0),Columbus Blue Jackets,MET,0.39776264596895633
29/1/2021 (v5.0),Dallas Stars,CEN,0.7271735989508031
29/1/2021 (v5.0),Detroit Red Wings,ATL,0.17426849538857206
29/1/2021 (v5.0),Edmonton Oilers,PAC,0.328820181247437
29/1/2021 (v5.0),Florida Panthers,ATL,0.9004846289624515
29/1/2021 (v5.0),Los Angeles Kings,PAC,0.6096490201969332
